y,trt,time,animal,ctime,x,infect,iron,time3,i3,rtime3
325,3,17,A16,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
320,3,18,A16,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
335,3,19,A16,53.3,2.17913043,Infected,NoIron,50,1,50
345,3,20,A16,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
360,3,21,A16,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
380,3,22,A16,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
375,3,23,A16,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
100,3,1,A17,0,-3.15086957,Infected,NoIron,0,0,NA
120,3,2,A17,2.8,-2.87086957,Infected,NoIron,0,0,NA
125,4,3,A17,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
140,4,4,A17,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
150,4,5,A17,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
170,4,6,A17,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
185,4,7,A17,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
190,4,8,A17,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
195,4,9,A17,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
190,4,10,A17,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
210,4,11,A17,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
214,4,12,A17,32.3,0.07913043,Infected,Iron,29,1,29
225,4,13,A17,35.6,0.40913043,Infected,Iron,32.3,1,32.3
235,4,14,A17,38.6,0.70913043,Infected,Iron,35.3,1,35.3
255,4,15,A17,41.4,0.98913043,Infected,Iron,38.1,1,38.1
240,4,16,A17,44.7,1.31913043,Infected,Iron,41.4,1,41.4
245,4,17,A17,47.7,1.61913043,Infected,Iron,44.4,1,44.4
280,4,18,A17,50.5,1.89913043,Infected,Iron,47.2,1,47.2
285,4,19,A17,53.3,2.17913043,Infected,Iron,50,1,50
270,4,20,A17,54.6,2.30913043,Infected,Iron,51.3,1,51.3
280,4,21,A17,60.1,2.85913043,Infected,Iron,56.8,1,56.8
280,4,22,A17,62.9,3.13913043,Infected,Iron,59.6,1,59.6
270,4,23,A17,65.9,3.43913043,Infected,Iron,62.6,1,62.6
125,3,1,A18,0,-3.15086957,Infected,NoIron,0,0,NA
145,3,2,A18,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,4,3,A18,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
170,4,4,A18,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
195,4,5,A18,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
200,4,6,A18,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
215,4,7,A18,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
235,4,8,A18,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
225,4,9,A18,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
225,4,10,A18,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
230,4,11,A18,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
259,4,12,A18,32.3,0.07913043,Infected,Iron,29,1,29
275,4,13,A18,35.6,0.40913043,Infected,Iron,32.3,1,32.3
290,4,14,A18,38.6,0.70913043,Infected,Iron,35.3,1,35.3
305,4,15,A18,41.4,0.98913043,Infected,Iron,38.1,1,38.1
305,4,16,A18,44.7,1.31913043,Infected,Iron,41.4,1,41.4
330,4,17,A18,47.7,1.61913043,Infected,Iron,44.4,1,44.4
350,4,18,A18,50.5,1.89913043,Infected,Iron,47.2,1,47.2
360,4,19,A18,53.3,2.17913043,Infected,Iron,50,1,50
370,4,20,A18,54.6,2.30913043,Infected,Iron,51.3,1,51.3
395,4,21,A18,60.1,2.85913043,Infected,Iron,56.8,1,56.8
405,4,22,A18,62.9,3.13913043,Infected,Iron,59.6,1,59.6
415,4,23,A18,65.9,3.43913043,Infected,Iron,62.6,1,62.6
110,3,1,A19,0,-3.15086957,Infected,NoIron,0,0,NA
135,3,2,A19,2.8,-2.87086957,Infected,NoIron,0,0,NA
140,4,3,A19,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
150,4,4,A19,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
155,4,5,A19,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
170,4,6,A19,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
180,4,7,A19,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
180,4,8,A19,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
190,4,9,A19,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
185,4,10,A19,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
205,4,11,A19,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
208,4,12,A19,32.3,0.07913043,Infected,Iron,29,1,29
215,4,13,A19,35.6,0.40913043,Infected,Iron,32.3,1,32.3
220,4,14,A19,38.6,0.70913043,Infected,Iron,35.3,1,35.3
230,4,15,A19,41.4,0.98913043,Infected,Iron,38.1,1,38.1
225,4,16,A19,44.7,1.31913043,Infected,Iron,41.4,1,41.4
245,4,17,A19,47.7,1.61913043,Infected,Iron,44.4,1,44.4
260,4,18,A19,50.5,1.89913043,Infected,Iron,47.2,1,47.2
255,4,19,A19,53.3,2.17913043,Infected,Iron,50,1,50
265,4,20,A19,54.6,2.30913043,Infected,Iron,51.3,1,51.3
285,4,21,A19,60.1,2.85913043,Infected,Iron,56.8,1,56.8
290,4,22,A19,62.9,3.13913043,Infected,Iron,59.6,1,59.6
300,4,23,A19,65.9,3.43913043,Infected,Iron,62.6,1,62.6
115,3,1,A20,0,-3.15086957,Infected,NoIron,0,0,NA
135,3,2,A20,2.8,-2.87086957,Infected,NoIron,0,0,NA
145,4,3,A20,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
155,4,4,A20,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
170,4,5,A20,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
195,4,6,A20,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
210,4,7,A20,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
220,4,8,A20,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
225,4,9,A20,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
220,4,10,A20,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
250,4,11,A20,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
275,4,12,A20,32.3,0.07913043,Infected,Iron,29,1,29
275,4,13,A20,35.6,0.40913043,Infected,Iron,32.3,1,32.3
275,4,14,A20,38.6,0.70913043,Infected,Iron,35.3,1,35.3
290,4,15,A20,41.4,0.98913043,Infected,Iron,38.1,1,38.1
280,4,16,A20,44.7,1.31913043,Infected,Iron,41.4,1,41.4
285,4,17,A20,47.7,1.61913043,Infected,Iron,44.4,1,44.4
295,4,18,A20,50.5,1.89913043,Infected,Iron,47.2,1,47.2
285,4,19,A20,53.3,2.17913043,Infected,Iron,50,1,50
275,4,20,A20,54.6,2.30913043,Infected,Iron,51.3,1,51.3
295,4,21,A20,60.1,2.85913043,Infected,Iron,56.8,1,56.8
320,4,22,A20,62.9,3.13913043,Infected,Iron,59.6,1,59.6
335,4,23,A20,65.9,3.43913043,Infected,Iron,62.6,1,62.6
120,3,1,A21,0,-3.15086957,Infected,NoIron,0,0,NA
140,3,2,A21,2.8,-2.87086957,Infected,NoIron,0,0,NA
145,4,3,A21,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
165,4,4,A21,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
175,4,5,A21,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
190,4,6,A21,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
205,4,7,A21,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
225,4,8,A21,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
220,4,9,A21,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
215,4,10,A21,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
230,4,11,A21,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
250,4,12,A21,32.3,0.07913043,Infected,Iron,29,1,29
250,4,13,A21,35.6,0.40913043,Infected,Iron,32.3,1,32.3
260,4,14,A21,38.6,0.70913043,Infected,Iron,35.3,1,35.3
280,4,15,A21,41.4,0.98913043,Infected,Iron,38.1,1,38.1
275,4,16,A21,44.7,1.31913043,Infected,Iron,41.4,1,41.4
295,4,17,A21,47.7,1.61913043,Infected,Iron,44.4,1,44.4
305,4,18,A21,50.5,1.89913043,Infected,Iron,47.2,1,47.2
310,4,19,A21,53.3,2.17913043,Infected,Iron,50,1,50
310,4,20,A21,54.6,2.30913043,Infected,Iron,51.3,1,51.3
320,4,21,A21,60.1,2.85913043,Infected,Iron,56.8,1,56.8
320,4,22,A21,62.9,3.13913043,Infected,Iron,59.6,1,59.6
300,4,23,A21,65.9,3.43913043,Infected,Iron,62.6,1,62.6
100,3,1,A22,0,-3.15086957,Infected,NoIron,0,0,NA
125,3,2,A22,2.8,-2.87086957,Infected,NoIron,0,0,NA
125,4,3,A22,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
145,4,4,A22,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
155,4,5,A22,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
175,4,6,A22,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
185,4,7,A22,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
195,4,8,A22,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
190,4,9,A22,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
185,4,10,A22,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
200,4,11,A22,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
216,4,12,A22,32.3,0.07913043,Infected,Iron,29,1,29
215,4,13,A22,35.6,0.40913043,Infected,Iron,32.3,1,32.3
225,4,14,A22,38.6,0.70913043,Infected,Iron,35.3,1,35.3
245,4,15,A22,41.4,0.98913043,Infected,Iron,38.1,1,38.1
245,4,16,A22,44.7,1.31913043,Infected,Iron,41.4,1,41.4
250,4,17,A22,47.7,1.61913043,Infected,Iron,44.4,1,44.4
260,4,18,A22,50.5,1.89913043,Infected,Iron,47.2,1,47.2
275,4,19,A22,53.3,2.17913043,Infected,Iron,50,1,50
280,4,20,A22,54.6,2.30913043,Infected,Iron,51.3,1,51.3
305,4,21,A22,60.1,2.85913043,Infected,Iron,56.8,1,56.8
310,4,22,A22,62.9,3.13913043,Infected,Iron,59.6,1,59.6
320,4,23,A22,65.9,3.43913043,Infected,Iron,62.6,1,62.6
110,3,1,A23,0,-3.15086957,Infected,NoIron,0,0,NA
135,3,2,A23,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,4,3,A23,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
160,4,4,A23,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
165,4,5,A23,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
185,4,6,A23,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
185,4,7,A23,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
200,4,8,A23,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
205,4,9,A23,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
210,4,10,A23,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
225,4,11,A23,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
238,4,12,A23,32.3,0.07913043,Infected,Iron,29,1,29
245,4,13,A23,35.6,0.40913043,Infected,Iron,32.3,1,32.3
255,4,14,A23,38.6,0.70913043,Infected,Iron,35.3,1,35.3
270,4,15,A23,41.4,0.98913043,Infected,Iron,38.1,1,38.1
270,4,16,A23,44.7,1.31913043,Infected,Iron,41.4,1,41.4
270,4,17,A23,47.7,1.61913043,Infected,Iron,44.4,1,44.4
285,4,18,A23,50.5,1.89913043,Infected,Iron,47.2,1,47.2
290,4,19,A23,53.3,2.17913043,Infected,Iron,50,1,50
300,4,20,A23,54.6,2.30913043,Infected,Iron,51.3,1,51.3
310,4,21,A23,60.1,2.85913043,Infected,Iron,56.8,1,56.8
320,4,22,A23,62.9,3.13913043,Infected,Iron,59.6,1,59.6
325,4,23,A23,65.9,3.43913043,Infected,Iron,62.6,1,62.6
115,3,1,A24,0,-3.15086957,Infected,NoIron,0,0,NA
140,3,2,A24,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,4,3,A24,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
160,4,4,A24,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
165,4,5,A24,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
190,4,6,A24,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
195,4,7,A24,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
205,4,8,A24,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
210,4,9,A24,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
215,4,10,A24,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
225,4,11,A24,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
240,4,12,A24,32.3,0.07913043,Infected,Iron,29,1,29
245,4,13,A24,35.6,0.40913043,Infected,Iron,32.3,1,32.3
255,4,14,A24,38.6,0.70913043,Infected,Iron,35.3,1,35.3
270,4,15,A24,41.4,0.98913043,Infected,Iron,38.1,1,38.1
270,4,16,A24,44.7,1.31913043,Infected,Iron,41.4,1,41.4
280,4,17,A24,47.7,1.61913043,Infected,Iron,44.4,1,44.4
295,4,18,A24,50.5,1.89913043,Infected,Iron,47.2,1,47.2
300,4,19,A24,53.3,2.17913043,Infected,Iron,50,1,50
305,4,20,A24,54.6,2.30913043,Infected,Iron,51.3,1,51.3
340,4,21,A24,60.1,2.85913043,Infected,Iron,56.8,1,56.8
345,4,22,A24,62.9,3.13913043,Infected,Iron,59.6,1,59.6
365,4,23,A24,65.9,3.43913043,Infected,Iron,62.6,1,62.6
105,3,1,A25,0,-3.15086957,Infected,NoIron,0,0,NA
125,3,2,A25,2.8,-2.87086957,Infected,NoIron,0,0,NA
125,4,3,A25,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
145,4,4,A25,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
145,4,5,A25,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
155,4,6,A25,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
170,4,7,A25,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
175,4,8,A25,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
175,4,9,A25,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
175,4,10,A25,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
180,4,11,A25,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
182,4,12,A25,32.3,0.07913043,Infected,Iron,29,1,29
185,4,13,A25,35.6,0.40913043,Infected,Iron,32.3,1,32.3
195,4,14,A25,38.6,0.70913043,Infected,Iron,35.3,1,35.3
215,4,15,A25,41.4,0.98913043,Infected,Iron,38.1,1,38.1
210,4,16,A25,44.7,1.31913043,Infected,Iron,41.4,1,41.4
235,4,17,A25,47.7,1.61913043,Infected,Iron,44.4,1,44.4
265,4,18,A25,50.5,1.89913043,Infected,Iron,47.2,1,47.2
280,4,19,A25,53.3,2.17913043,Infected,Iron,50,1,50
290,4,20,A25,54.6,2.30913043,Infected,Iron,51.3,1,51.3
315,4,21,A25,60.1,2.85913043,Infected,Iron,56.8,1,56.8
330,4,22,A25,62.9,3.13913043,Infected,Iron,59.6,1,59.6
345,4,23,A25,65.9,3.43913043,Infected,Iron,62.6,1,62.6
125,4,1,A26,0,-3.15086957,Infected,NoIron,0,0,NA
145,3,2,A26,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,3,3,A26,4.4,-2.71086957,Infected,Iron,1.1,1,1.1
165,4,4,A26,5.7,-2.58086957,Infected,Iron,2.4,1,2.4
175,4,5,A26,9.7,-2.18086957,Infected,Iron,6.4,1,6.4
185,4,6,A26,12.5,-1.90086957,Infected,Iron,9.2,1,9.2
195,4,7,A26,15.4,-1.61086957,Infected,Iron,12.1,1,12.1
205,4,8,A26,17.4,-1.41086957,Infected,Iron,14.1,1,14.1
215,4,9,A26,20.2,-1.13086957,Infected,Iron,16.9,1,16.9
220,4,10,A26,23.2,-0.83086957,Infected,Iron,19.9,1,19.9
235,4,11,A26,25.8,-0.57086957,Infected,Iron,22.5,1,22.5
264,4,12,A26,32.3,0.07913043,Infected,Iron,29,1,29
285,4,13,A26,35.6,0.40913043,Infected,Iron,32.3,1,32.3
275,4,14,A26,38.6,0.70913043,Infected,Iron,35.3,1,35.3
295,4,15,A26,41.4,0.98913043,Infected,Iron,38.1,1,38.1
290,4,16,A26,44.7,1.31913043,Infected,Iron,41.4,1,41.4
305,4,17,A26,47.7,1.61913043,Infected,Iron,44.4,1,44.4
325,4,18,A26,50.5,1.89913043,Infected,Iron,47.2,1,47.2
325,4,19,A26,53.3,2.17913043,Infected,Iron,50,1,50
325,4,20,A26,54.6,2.30913043,Infected,Iron,51.3,1,51.3
340,4,21,A26,60.1,2.85913043,Infected,Iron,56.8,1,56.8
335,4,22,A26,62.9,3.13913043,Infected,Iron,59.6,1,59.6
345,4,23,A26,65.9,3.43913043,Infected,Iron,62.6,1,62.6
